,recording,channel_num,input_Vpp,gain_position,rms,dBrms,measured_vrms,measured_rel_maxrms,input_vrms
99,ff802_ch12_500mVpp_pos0-4_gain.wav,12,0.5,2,0.023444720006216658,-32.599098991052166,,0.033155840998831426,0.17677669529663687
100,ff802_ch12_500mVpp_pos0-4_gain.wav,12,0.5,3,0.07913911083919378,-22.03217667043216,,0.11191960386293545,0.17677669529663687
101,ff802_ch12_500mVpp_pos0-4_gain.wav,12,0.5,4,0.19852669259887473,-14.043621851665515,,0.280759141166403,0.17677669529663687
102,ff802_ch12_500mVpp_pos4-8_gain.wav,12,0.5,4,0.1993313533850801,-14.008487690699084,,0.2818971033633644,0.17677669529663687
103,ff802_ch12_500mVpp_pos4-8_gain.wav,12,0.5,5,0.3798822620264453,-8.407019692679393,,0.5372346470627687,0.17677669529663687
104,ff802_ch12_500mVpp_pos4-8_gain.wav,12,0.5,6,0.5783101478605853,-4.756783737494149,,0.8178540543624296,0.17677669529663687
105,ff802_ch12_1000mVpp_pos0-4_gain.wav,12,1.0,0,0.027015464372106442,-31.367751258397938,,0.03820563610884008,0.35355339059327373
106,ff802_ch12_1000mVpp_pos0-4_gain.wav,12,1.0,1,0.029486825448745008,-30.607439621398612,,0.041700668460943315,0.35355339059327373
107,ff802_ch12_1000mVpp_pos0-4_gain.wav,12,1.0,2,0.045677926539267534,-26.8058723653809,,0.06459834321291408,0.35355339059327373
108,ff802_ch12_1000mVpp_pos0-4_gain.wav,12,1.0,3,0.14559012612645186,-16.73736155460864,,0.2058955309156377,0.35355339059327373
109,ff802_ch12_1000mVpp_pos0-4_gain.wav,12,1.0,4,0.3975016405015926,-8.013221493140456,,0.5621522110629066,0.35355339059327373
